Format,LMUTelemetry v3
Version,1
Player,Daniel Skraba
TrackName,Circuit de Spa-Francorchamps
CarClass,GTE
CarName,Corvette Racing #33:LM
SessionUTC,2025-11-21T10:49:17Z
LapTime [s],0.000
TrackLen [m],6981.600586
NumSectors,3
Sector1End [m],2327.200195
Sector2End [m],4654.400391
Sector3End [m],6981.600586
GameVersion,1.0
Event,Practice

LapDistance [m],Sector [int],Speed [km/h],EngineRevs [rpm],ThrottlePercentage [%],BrakePercentage [%],Steer [%],Gear [int],X [m],Z [m]
222.820,0,93.45,5725.49,0.00,42.86,4.50,1,-352.73,925.09
222.820,0,92.86,5687.29,0.00,41.27,4.70,1,-352.94,925.56
222.820,0,92.43,5654.55,0.00,41.27,5.09,1,-353.15,926.03
222.820,0,92.43,5654.55,0.00,41.27,5.09,1,-353.15,926.03
222.820,0,91.78,5654.55,0.00,41.27,5.09,1,-353.36,926.50
222.820,0,91.25,5578.15,0.00,39.68,6.07,1,-353.56,926.97
222.820,0,90.92,5542.68,0.00,38.10,6.46,1,-353.76,927.43
222.820,0,90.24,5511.31,0.00,38.10,6.85,1,-353.96,927.90
222.820,0,89.66,5470.38,0.00,38.10,7.63,1,-354.15,928.36
227.885,0,89.11,5436.28,0.00,38.10,8.02,1,-354.34,928.82
227.885,0,88.46,5402.17,0.00,38.10,8.61,1,-354.53,929.28
227.885,0,87.85,5368.07,0.00,38.10,9.20,1,-354.71,929.74
227.885,0,87.29,5328.51,0.00,38.10,9.59,1,-354.88,930.19
227.885,0,86.54,5293.04,0.00,38.10,9.98,1,-355.05,930.65
227.885,0,86.06,5261.66,0.00,38.10,10.37,1,-355.22,931.10
227.885,0,85.33,5226.19,0.00,39.68,10.96,1,-355.38,931.55
227.885,0,84.71,5189.36,0.00,39.68,11.35,1,-355.54,932.00
227.885,0,83.99,5152.53,0.00,39.68,11.74,1,-355.69,932.44
227.885,0,83.60,5117.06,0.00,39.68,11.94,1,-355.83,932.89
232.585,0,82.93,5078.86,0.00,39.68,11.94,1,-355.97,933.33
232.585,0,82.26,5046.12,0.00,39.68,11.94,1,-356.11,933.77
232.585,0,81.63,5007.92,0.00,39.68,11.55,1,-356.24,934.21
232.585,0,81.05,4976.55,0.00,39.68,10.96,1,-356.37,934.64
232.585,0,80.46,4942.44,0.00,38.10,10.37,1,-356.49,935.08
232.585,0,79.94,4911.07,0.00,38.10,9.98,1,-356.61,935.51
232.585,0,79.94,4911.07,0.00,38.10,9.98,1,-356.61,935.51
232.585,0,79.47,4878.33,0.00,36.51,9.39,1,-356.72,935.93
232.585,0,78.89,4845.59,0.00,36.51,9.20,1,-356.83,936.36
232.585,0,78.53,4818.30,0.00,34.92,8.61,1,-356.94,936.78
232.585,0,78.09,4786.93,0.00,33.33,8.41,1,-357.05,937.21
236.866,0,77.75,4761.01,0.00,30.16,8.41,1,-357.15,937.63
236.866,0,77.67,4740.54,0.00,28.57,8.22,1,-357.25,938.04
236.866,0,77.32,4721.45,1.59,26.98,8.41,1,-357.35,938.46
236.866,0,77.10,4705.07,3.17,25.40,8.61,1,-357.45,938.88
236.866,0,76.65,4681.88,4.76,25.40,9.20,1,-357.55,939.30
236.866,0,76.41,4660.06,3.17,25.40,9.78,1,-357.64,939.71
236.866,0,76.05,4635.50,3.17,23.81,10.57,1,-357.73,940.13
236.866,0,75.60,4612.31,3.17,23.81,11.35,1,-357.82,940.55
236.866,0,75.14,4586.39,3.17,23.81,12.52,1,-357.90,940.96
236.866,0,74.52,4560.47,1.59,23.81,13.50,1,-357.98,941.37
240.899,0,74.03,4533.19,1.59,25.40,14.48,1,-358.06,941.78
240.899,0,73.56,4505.90,1.59,25.40,15.85,1,-358.13,942.19
240.899,0,73.21,4481.35,0.00,25.40,16.83,1,-358.20,942.59
240.899,0,72.73,4456.79,0.00,25.40,17.81,1,-358.26,943.00
240.899,0,72.51,4428.15,0.00,25.40,18.79,1,-358.31,943.40
240.899,0,72.05,4403.59,0.00,25.40,19.77,1,-358.37,943.80
240.899,0,71.72,4377.67,0.00,25.40,20.74,1,-358.41,944.20
240.899,0,71.28,4353.12,0.00,25.40,21.53,1,-358.45,944.60
240.899,0,70.98,4329.92,0.00,25.40,21.92,1,-358.48,945.00
240.899,0,70.57,4304.00,0.00,25.40,22.50,1,-358.51,945.40
244.704,0,70.17,4276.72,0.00,25.40,23.09,1,-358.53,945.79
244.704,0,69.67,4249.44,0.00,25.40,23.29,1,-358.55,946.18
244.704,0,69.67,4249.44,0.00,25.40,23.29,1,-358.55,946.18
